PassiveSkillGraphId,Name,Datafile Parsing Index
42917,Whirling Barrier,287
43385,Winter Spirit,288
43689,Spiritual Command,289
44102,Efficient Explosives,290
44103,Reflexes,291
44191,As The Mountain,292
44207,Testudo,293
44347,Divine Fury,294
44562,Shaman's Dominion,295
44788,Potent Connections,296
44824,Mysticism,297
44955,Frost Walker,298
44988,Wasting,299
45067,Thrill Killer,300
45283,Cornered Prey,301
45317,"Ash, Frost and Storm",302
45329,Trick Shot,303
45350,Glory of Command,304
45608,Successive Detonations,305
45657,Trial of the Faith,306
45803,Veteran Soldier,307
45945,Conjured Barrier,308
46408,Fangs of the Viper,309
46471,Powerful Bond,310
46842,Arcane Potency,311
46904,Arcane Sanctuary,312
46965,Saboteur,313
47065,Master of Blades,314
47306,Throatseeker,315
47471,Overcharged,316
47484,Depth Perception,317
47743,Farsight,318
48298,Insightfulness,319
48438,Bravery,320
48556,Heart of Darkness,321
48614,Fervour,322
48698,Void Barrier,323
48807,Art of the Gladiator,324
48823,Deadly Draw,325
49254,Retribution,326
49318,Wrecking Ball,327
49379,Hired Killer,328
49416,Adamant,329
49445,Deep Breaths,330
49459,King of the Hill,331
49538,Defiance,332
49621,Acuity,333
49645,Cauterisation,334
49772,Utmost Might,335
49969,Courage,336
50029,Unnatural Calm,337
50197,Ancestral Knowledge,338
50338,Ballistics,339
50690,Replenishing Remedies,340
50842,Veteran's Wrath,341
50858,Admonisher,342
51108,Arcane Capacitor,343
51212,Entropy,344
51440,Druidic Rite,345
51559,Smashing Strikes,346
51748,Last Rites,347
51881,Master Fletcher,348
52030,Burst of Energy,349
52031,Disintegration,350
52090,Feller of Foes,351
52157,Soul Siphon,352
52230,Weathered Hunter,353
52714,Prowess,354
52742,Hasty Demise,355
52789,Circle of Life,356
53013,Atrophy,357
53042,Exceptional Performance,358
53114,Revenge of the Hunted,359
53118,Barbarism,360
53493,Annihilation,361
53573,Arcane Expanse,362
53652,Steeped in the Profane,363
53757,Shamanistic Fury,364
53802,Essence Extraction,365
53840,Vengeance,366
54142,Finesse,367
54268,Blade Barrier,368
54629,Inexorable,369
54694,Light of Divinity,370
54713,Force Shaper,371
54776,Mana Flows,372
54791,Claws of the Magpie,373
55002,Righteous Fury,374
55027,Shining Justice,375
55114,Utmost Intellect,376
55194,Settling Ash,377
55380,Clever Construction,378
55381,Arcane Retaliation,379
55485,Constitution,380
55772,Blacksmith's Clout,381
56029,Agility,382
56094,One with the River,383
56276,Nightstalker,384
56330,Flow of Battle,385
56359,Cannibalistic Rite,386
56648,Claws of the Falcon,387
56716,Heart of Thunder,388
57199,Fangs of Frost,389
57839,Blade of Cunning,390
57900,Command of Steel,391
58032,Serpentine Spellslinger,392
58168,High Voltage,393
58198,Fingers of Frost,394
58218,Purity of Flesh,395
58382,Renowned Deeds,396
58449,Born to Fight,397
58831,Disemboweling,398
58851,Leader of the Pack,399
58921,Disciple of the Slaughter,400
59151,Brutal Blade,401
59423,Escalation,402
59556,Expeditious Munitions,403
59605,Unstable Munitions,404
59766,Dirty Techniques,405
59866,Entrench,406
59976,Careful Counterattack,407
60002,Fury Bolts,408
60031,Prismatic Skin,409
60085,Arcane Conservation,410
60180,Thief's Craft,411
60501,Heart of Flame,412
60619,Galvanic Hammer,413
60737,Sleight of Hand,414
60781,Inspiring Bond,415
61039,Wild Hunger,416
61190,Rallying Icon,417
61198,Heart of the Warrior,418
61308,Amplify,419
61689,Explosive Elements,420
61981,Doom Cast,421
61982,Grave Intentions,422
62094,Taste for Blood,423
62577,Essence Surge,424
62802,Brink of Death,425
62849,Glacial Cage,426
63033,Bannerman,427
63150,Ironwood,428
63207,Tempest Blast,429
63251,Inveterate,430
63422,Lust for Carnage,431
63453,Excess Sustenance,432
63635,Primal Manifestation,433
63727,Gladiator's Perseverance,434
63921,Utmost Swiftness,435
63933,Totemic Zeal,436
63944,Prism Weave,437
63976,Shaper,438
64077,Warrior Training,439
64226,Roaring Challenge,440
64355,Brand Equity,441
64395,Blunt Trauma,442
64882,Disciple of the Unyielding,443
65053,Essence Sap,444
65093,Bladedancer,445
65097,Leadership,446
65107,Bastion Breaker,447
65108,Tireless,448
65210,Heart of Oak,449
65224,Aspect of the Eagle,450
65273,Enigmatic Reach,451
65308,Diamond Skin,452
65502,Heartseeker,453
94,Evasion,454
127,Life on Kill and Recoup,455
223,Slower Rage Decay,456
224,Warcry Cooldown Recovery,457
238,Dexterity,458
265,Claw Critical Strike Chance,459
367,Energy Shield,460
420,Physical and Minion Damage,461
444,Dexterity,462
465,Projectile Damage and Attack Speed,463
476,Strength,464
487,Strength,465
494,Retaliation Skill Damage and Shield Block,466
651,Elemental Resistances,467
655,Slower Mana Burn,468
720,Accuracy and Attack Damage,469
739,Cast Speed,470
864,Impale Effect with Two Handed Weapons,471
885,Fire Damage,472
903,Movement Speed and Spell Suppression,473
918,Attack Speed,474
930,Bow Damage,475
1031,Intelligence,476
1159,Attack Damage and Attack Speed with Shield,477
1201,Attack Damage,478
1203,Life,479
1252,Knockback Chance,480
1346,Spell Critical Strike Chance,481
1354,Rage on Hit,482
1427,Stun Avoidance,483
1461,Dexterity,484
1550,Fire Damage and Life Regeneration,485
1572,Physical Damage Over Time Multiplier,486
1593,Shield Block and Elemental Resistances with a Shield,487
1600,Elemental Damage,488
1609,Minion Life Regeneration,489
1648,Poison Chance,490
1652,Hex Area of Effect,491
1655,Mine Damage,492
1696,Totem Placement Speed and Duration,493
1698,Sword Critical Strike Chance and Multiplier,494
1722,Minion Critical Strike Multiplier,495
1761,Staff Damage and Armour,496
1767,Life and Energy Shield on Kill,497
1822,Life and Energy Shield,498
1891,Mana,499
1909,Two Handed Melee Damage and Attack Speed,500
1957,Cast Speed,501
2081,Curse Mana Reservation Efficiency,502
2092,Melee Damage and Strike Range,503
2094,Evasion and Life,504
2121,Claw Attack Speed,505
2151,Mana Regeneration and Intelligence,506
2185,Bow Attack Speed,507
2219,Life Regeneration,508
2260,Mine Damage,509
2292,Mana and Life,510
2348,Link Mana Cost Efficiency,511
2355,Shield Defences,512
2392,Dual Wield Damage and Block,513
2411,Mace Damage and Stun Duration,514
2413,Slower Mana Burn,515
2454,Two Handed Melee Damage,516
2474,Life Recoup,517
2785,Curse Duration,518
2913,Dexterity,519
3009,Dual Wield Accuracy,520
3089,Link Effect,521
3167,Life Regeneration,522
3187,Movement Speed and Spell Suppression,523
3314,Frenzy Charge Duration,524
3319,Shield Block and Block Recovery,525
3359,Curse Cast Speed,526
3362,Claw Attack Speed and Poison Chance,527
3398,Shock Resistance,528
3424,Dagger Damage and Movement Speed,529
3469,Dexterity,530
3533,Life and Cost Efficiency,531
3537,Power Charge Duration,532
3634,Life Leech,533
3644,Strength,534
3656,Intelligence,535
3676,Flask Charges Gained,536
3863,Dagger Critical Strike Multiplier and Poison Duration,537
3992,Accuracy,538
4011,Dexterity,539
4036,Critical Strike Multiplier,540
4105,Life on Kill and Recoup,541
4184,Elemental Damage,542
4219,Evasion and Energy Shield,543
4247,Minion Life,544
4269,Damage against Marked Enemy,545
4270,Brand Duration,546
4300,Totem Damage and Placement Speed,547
4336,Sword Damage,548
4367,Intelligence,549
4378,Life Leech,550
4397,Intelligence,551
4432,Energy Shield,552
4502,Intelligence,553
4546,Mine Detonation Speed,554
4565,Dual Wield Attack Speed,555
4568,Physical and Minion Damage,556
4573,Evasion and Movement Skill Cooldown Recovery,557
4656,Spell Suppression and Life Flask Recovery,558
4713,Burning Damage Multiplier,559
4750,Totem Damage and Placement Speed,560
4944,"Armour, Evasion and Onslaught Effect",561
4973,Damage Over Time Multiplier,562
4977,Staff Critical Strike Chance and Multiplier,563
5018,Chance to Poison with Spells,564
5022,Weapon Lightning Damage,565
5065,Maximum Lightning Resistance,566
5068,Mace Critical Strike Chance and Multiplier,567
5103,Stun Threshold,568
5129,Damage Over Time Multiplier,569
5152,Life,570
5197,Life,571
5203,Retaliation Skill Stun Duration,572
5233,Strength,573
5237,Dexterity,574
5296,Intelligence,575
5408,Dexterity,576
5462,Staff Area of Effect,577
5560,Area of Effect,578
5591,Energy Shield Recharge Rate,579
5612,Physical Attack Damage,580
5613,Physical Damage and Attack and Cast Speed,581
5616,Dexterity,582
5622,Dual Wield Critical Strike Multiplier and Accuracy,583
5629,Claw Damage,584
5632,Bleed and Critical Strike Chance,585
5743,Life and Energy Shield,586
5802,Dagger Damage and Movement Speed,587
5875,Cast Speed and Spell Critical Strike Chance,588
5916,Burning Damage Multiplier,589
5935,Aura Area of Effect,590
5972,Cold Damage,591
6042,Life Gain on Hit,592
6043,Maximum Fire Resistance,593
6108,Sword Critical Strike Chance and Multiplier,594
6109,Curse Effect,595
6113,Axe Damage,596
6139,Fortification Gain,597
6204,Mana,598
6245,Chance to Ignite,599
6250,Curse Cast Speed,600
6264,Tincture Effect,601
6359,Armour and Life,602
6363,Dexterity,603
6383,Spell Suppression and Life Flask Recovery,604
6446,Strength,605
6534,Evasion and Spell Suppression,606
6538,Intelligence,607
6542,Evasion,608
6580,Dexterity,609
6616,Dual Wield Cast Speed and Movement Skill Cooldown Recovery,610
6633,Mace Damage and Area of Effect,611
6654,Bow Damage and Critical Strike Chance,612
6685,Minion Attack and Cast Speed,613
6712,Life,614
6718,Elemental Resistances,615
6741,Strength,616
6764,Intelligence,617
6785,Fire Damage,618
6797,Projectile Damage,619
6884,Two Handed Melee Damage and Life Leech Speed,620
6913,Bow Damage and Critical Strike Chance,621
6949,Energy Shield and Recovery,622
6981,Strength,623
7082,Sword Damage,624
7092,Physical and Lightning Damage,625
7112,Dexterity,626
7153,Lightning Damage,627
7162,Armour and Elemental Resistances,628
7187,Burning Damage Multiplier with Attacks,629
7285,Attack Cost Efficiency,630
7335,Armour and Life Regeneration,631
7347,Staff Spell Block,632
7364,Staff Area of Effect,633
7374,Life and Cost Efficiency,634
7388,Intelligence,635
7399,Lightning Resistance,636
7444,Intelligence,637
7503,Energy Shield Recharge Rate,638
7594,Reservation Efficiency,639
7609,Forking Angle,640
7614,Skill Duration,641
7641,Energy Shield and Energy Shield Recharge Rate,642
7659,Mark Mana Cost Efficiency,643
7728,Banner Duration,644
7786,Totem Attack Speed,645
7828,Melee Attack Speed,646
7898,Minion Critical Strike Chance,647
7903,Block,648
7920,Trap and Mine Throwing Speed,649
7938,Intelligence,650
8012,Life and Mana on Hit,651
8027,Mine Critical Strike Chance and Multiplier,652
8139,Link Cast Speed,653
8198,"Chance to Ignite, Freeze and Shock",654
8302,Power Charge Duration,655
8348,Evasion and Spell Suppression,656
8410,Attack Speed in Sand Stance,657
8426,Two Handed Melee Damage and Reduced Enemy Stun Threshold,658
8500,Mace Damage and Stun Duration,659
8533,Two Handed Melee Damage,660
8544,Dexterity,661
8566,Physical Bow Damage and Stun Threshold,662
8620,Flask Charges against Marked Enemy,663
8624,Ignite Chance and Duration,664
8640,Dexterity,665
8643,Cast Speed,666
8879,Weapon Fire Damage,667
8904,Warcry Duration,668
8930,Life and Flasks,669
8938,Dexterity,670
8948,Intelligence,671
9009,Movement Speed,672
9052,Block,673
9149,Chill and Freeze Resistance,674
9171,Life Leech Speed,675
9206,Life,676
9262,Sword Damage and Melee Range,677
9294,Physical and Minion Damage,678
9355,Strength,679
9361,Maximum Rage,680
9370,Minion Attack and Cast Speed,681
9373,Mana and Flask Effect,682
9386,Life and Energy Shield,683
9392,Aura Effect,684
9402,Block,685
9469,Critical Strike Chance,686
9505,Minion Damage,687
9511,Strength,688
9650,Minion Damage and Life,689
9695,Armour and Elemental Resistances,690
9769,Spell Suppression and Energy Shield Recharge Rate,691
9786,Evasion and Movement Speed,692
9877,Life,693
9933,Mark Effect,694
9976,Axe Damage,695
9995,Aura Area of Effect,696
10017,Attack Speed,697
10031,Life,698
10073,Armour and Guard Skill Cooldown Recovery,699
10221,Strength,700
10282,One Handed Melee Damage,701
10311,Banner Aura Effect,702
10490,Intelligence,703
10555,Link Duration,704
10575,Intelligence,705
10594,Warcry Buff Effect,706
10763,Critical Strike Chance,707
10829,Dexterity,708
10840,Attack Cost Efficiency,709
10843,Projectile Damage,710
10851,Shield Damage,711
10893,Fire Damage,712
10904,Minion Life,713
10989,Retaliation Skill Damage and Stun Threshold,714
10992,Hex Area of Effect,715
11016,Physical and Elemental Damage,716
11018,Evasion and Energy Shield,717
11088,Life and Cost Efficiency,718
11128,Avoid Interruption while Casting and Elemental Resistances,719
11162,Cold Damage Over Time Multiplier,720
11190,Totem Life and Elemental Resistances,721
11200,Corpse Life,722
11334,Intelligence,723
11364,Faster Ailments,724
11431,Totem Life and Damage,725
11456,Stance Skill Cooldown Recovery,726
11489,Dagger Critical Strike Chance and Multiplier,727
11497,Dexterity,728
11515,Two Handed Melee Damage and Area of Effect,729
11551,Intelligence,730
11568,Bleed Damage Multiplier,731
11651,Intelligence,732
11659,Avoid Interruption while Casting and Elemental Resistances,733
11678,Projectile Damage,734
11688,Spell Damage,735
11689,Shield Spell Damage and Spell Block,736
11700,Melee Area of Effect,737
11716,Mine Critical Strike Multiplier,738
11792,Warcry Duration,739
11800,Tincture Mana on Kill,740
11811,Poison Chance and Duration,741
11850,Blind Duration,742
11859,Strength,743
11984,Chance to Poison with Spells,744
12032,Cast Speed and Spell Mana Cost Efficiency,745
12068,Bow Damage and Attack Speed,746
12095,Dual Wield Attack Speed and Block,747
12189,Cast Speed and Spell Critical Strike Chance,748
12215,Aggravate Bleeding On Critical Strike Chance,749
12236,Attack Damage with Shield,750
12246,Energy Shield,751
12247,Attack Cost Efficiency,752
12250,Energy Shield and Mana,753
12379,Lightning Damage and Cast Speed,754
12407,Axe Damage and Attack Speed,755
12412,Dexterity,756
12415,Attack Ignite Chance and Attack Speed,757
12439,Cold Damage and Freeze Chance,758
12536,Elemental Damage,759
12664,Faster Bleeding,760
12720,Sword Damage and Block,761
12783,Critical Strike Multiplier per Power Charge,762
12794,Projectile Attack Critical Strike Chance and Multiplier,763
12801,Evasion and Life,764
12824,Trap Damage,765
12831,Freeze Chance,766
12852,Elemental Damage,767
12888,Mana Regeneration per Power Charge,768
12913,Mana,769
12948,Bow Critical Strike Chance and Multiplier,770
13009,Dexterity,771
13168,Poison Damage and Cast Speed,772
13191,Skill Duration,773
13202,Cold Damage and Cold Ailment Effect,774
13231,Bow Attack Speed and Phasing,775
13232,Increased Energy Shield Leeched,776
13273,Bleed Chance,777
13322,Energy Shield,778
13498,Impale Chance,779
13559,Burning Damage Multiplier,780
13573,Dual Wield Attack and Cast Speed and Block,781
13714,Life,782
13753,Energy Shield,783
13782,Physical Damage,784
13807,Dual Wield Damage and Attack Speed,785
13885,Dexterity,786
13961,Lightning Ailment Effect,787
13965,Slower Mana Burn,788
14021,Intelligence,789
14040,Fire Damage,790
14056,Strength,791
14057,Life and Energy Shield,792
14090,Reduced Skill Duration,793
14151,Intelligence,794
14157,Dagger Critical Strike Chance,795
14182,Energy Shield,796
14209,Cold Ailment Duration,797
14211,Energy Shield,798
14292,Dexterity,799
14384,Maximum Fortification,800
14400,Flask Effect Duration,801
14419,Weapon Fire Damage,802
14745,Spell Area of Effect,803
14767,Fortification Duration,804
14804,Projectile Attack Critical Strike Chance,805
14930,Strength,806
14936,Life,807
15021,Shield Block and Elemental Resistances,808
15064,Strength,809
15073,Life,810
15081,Minion Damage and Duration,811
15086,Mace Damage and Critical Strike Chance,812
15117,Intelligence,813
15124,Impale Effect,814
15144,Attack Speed and Dexterity,815
15163,Mace Damage and Area of Effect,816
15167,Golem Life and Buff Effect,817
15228,Critical Strike Multiplier,818
15365,Area of Effect,819
15405,Strength,820
15438,Two Handed Melee Damage and Stun Duration,821
15451,Warcry Speed,822
15452,Spell Damage Over Time Multiplier,823
15491,Retaliation Skill Damage,824
15522,Maximum Lightning Resistance,825
15543,Maximum Rage and Armour,826
15549,Intelligence,827
15599,"Attack and Cast Speed, Accuracy",828
15631,Strength,829
15678,Melee Critical Strike Multiplier,830
15716,Staff Critical Strike Chance and Multiplier,831
15727,Attack Ignite Chance,832
15783,Consecrated Ground Effect,833
15837,Avoid Status Ailments,834
15868,Life and Armour,835
15880,Attack Area of Effect and Accuracy,836
15973,Brand Damage and Duration,837
16079,Evasion Per Frenzy Charge,838
16113,Staff Block,839
16167,Dexterity,840
16213,Attack Speed per Frenzy Charge,841
16245,Retaliation Skill Usable Duration,842
16380,Accuracy and Critical Strike Chance,843
16544,Dexterity,844
16602,Life Flasks and Flask Duration,845
16743,Dual Wield Spell Damage and Movement Speed,846
16754,Staff Critical Strike Chance,847
16756,Axe Damage and Impale Chance,848
16775,Strength,849
16790,Spell Critical Strike Chance,850
16851,Bow Damage and Accuracy,851
16860,Physical Attack Damage,852
16882,Flask Effect Duration,853
16954,Critical Strike Chance per Power Charge,854
16970,Damage if Consumed a Corpse,855
17020,Attack Damage in Blood Stance,856
17038,Stun Duration,857
17201,Dexterity,858
17236,Energy Shield and Energy Shield Recharge Rate,859
17251,Armour and Energy Shield,860
17352,Mana and Life,861
17383,Mana and Aura Area of Effect,862
17412,Minion Life,863
17421,Mana and Flask Charges Gained,864
17429,Impale Chance and Attack Speed,865
17527,Block,866
17546,Mana and Flasks,867
17566,Armour and Evasion,868
17569,Totem Critical Strike Chance,869
17579,Spell Damage,870
17674,Physical Damage,871
17735,Intelligence,872
17749,Life Recoup,873
17788,Flask Charges Gained,874
17790,Flask Charges Gained,875
17814,Evasion and Spell Suppression,876
17821,Mana Regeneration and Life,877
17833,Bleed Damage Multiplier,878
17849,Mine Damage,879
17908,Claw Damage and Attack Speed,880
17934,Attack Damage and Speed,881
18009,Melee Damage and Strike Range,882
18033,Intelligence,883
18103,Dexterity,884
18182,Intelligence,885
18202,Rage on Hit,886
18208,Consecrated Ground Effect and Accuracy,887
18239,Spell Damage and Stun Recovery,888
18302,Life,889
18359,Minion Block,890
18379,Mace Critical Strike Chance and Multiplier,891
18402,Life and Flasks,892
18661,Mine Damage and Reservation Efficiency,893
18670,Weapon Elemental Damage,894
18715,Fire Damage,895
18747,Life Recoup,896
18767,Energy Shield and Mana,897
18770,Spell Suppression,898
18866,Cast Speed,899
18901,Melee Damage,900
18990,Staff Block,901
19008,Shield Spell Damage and Spell Block,902
19098,Wand Lightning Damage,903
19196,Reservation Efficiency,904
19210,Physical Damage and Ignore Physical Damage Reduction,905
19228,Claw Ailment Damage and Poison Chance,906
19261,Warcry Cooldown Recovery,907
19287,Life and Life on Kill,908
19374,Energy Shield,909
19388,Axe Damage and Accuracy,910
19401,Life Gain on Hit,911
19501,Intelligence,912
19609,Physical Damage Over Time Multiplier,913
19635,Intelligence,914
19679,Brand Range and Brand Recall Cooldown Recovery,915
19711,Dexterity,916
19782,Defences with Shield,917
19884,Strength,918
19919,Spell Block,919
19939,Life,920
19958,Link Cast Speed,921
20010,Dexterity,922
20018,Axe Damage,923
20127,Poison Damage Multiplier,924
20142,Totem Critical Strike Multiplier,925
20167,Dagger Ailment Damage and Poison Chance,926
20228,Mana Regeneration and Life,927
20310,Block,928
20402,Attack Cost Efficiency,929
20467,Mace Critical Strike Chance and Multiplier,930
20546,Intelligence,931
20551,Life,932
20807,Dexterity,933
20812,Evasion and Spell Suppression,934
20844,Wand Attack Speed and Accuracy,935
20852,Fire and Cold Damage,936
20913,Rage on Hit,937
20953,Attack Speed,938
20966,Mace Damage,939
20987,Elemental Damage,940
21019,Tincture Effect,941
21033,Mana,942
21048,Link Duration,943
21075,Area of Effect Damage,944
21170,Chill Effect,945
21184,Avoid Interruption while Casting,946
21262,Elemental Damage,947
21301,Strength,948
21548,Banner Duration,949
21575,Elemental Damage,950
21678,Intelligence,951
21693,Physical Damage and Attack and Cast Speed,952
21758,Frenzy Charge Duration,953
21835,Life,954
21929,Armour and Energy Shield,955
21934,Spell Damage,956
21974,Reservation Efficiency,957
22061,Mana,958
22062,Minion Damage and Duration,959
22090,Cold Damage,960
22180,Accuracy,961
22217,Spell Suppression and Life Flask Recovery,962
22261,Dagger Damage and Attack Speed,963
22266,Dexterity,964
22285,Strength,965
22315,Mana Regeneration,966
22407,Wand Physical Damage and Attack Speed,967
22423,Dual Wield Damage,968
22472,Mana and Arcane Surge Effect,969
22473,Energy Shield,970
22488,Trap Throwing Speed,971
22497,Cast Speed,972
22577,Block Recovery and Energy Shield,973
22618,Mana,974
22627,Life and Armour,975
22647,Ignite Chance,976
22703,Strength,977
22728,Staff Elemental Damage and Penetration,978
22845,Tincture Effect,979
22893,Skill Duration,980
22908,Banner Maximum Valour,981
23027,Strength,982
23036,Warcry Cooldown Recovery and Area of Effect,983
23122,Projectile Damage,984
23185,Chaos Resistance and Minion Damage,985
23199,Bleed Damage and Chance,986
23215,Curse and Chaos Resistance,987
